"Rank","Name","Team","Pos","Pos","Avg","Sleeper","ESPN","Yahoo","Underdog"
"[object Object]","Shedeur Sanders","CLE","QB","QB","57.10","57.10","15.02","-","18.11"
"[object Object]","Kyle Williams","NE","WR","WR","57.12","57.12","-","-","18.10"
"[object Object]","Devin Neal","NO","RB","RB","58.02","58.02","-","-","18.12"
"[object Object]","Chris Brazzell II","CAR","WR","WR","58.05","58.05","-","-","18.12"
"[object Object]","Audric Estimé","NO","RB","RB","58.09","58.09","-","-","18.12"
"[object Object]","Christian Kirk","SF","WR","WR","58.09","58.09","15.02","-","18.12"
"[object Object]","Max Klare","LAR","TE","TE","58.10","58.10","-","-","18.12"
"[object Object]","Michael Penix Jr.","ATL","QB","QB","58.11","58.11","-","-","18.06"
"[object Object]","Elijah Sarratt","BAL","WR","WR","58.12","58.12","-","-","18.12"
"[object Object]","Elic Ayomanor","TEN","WR","WR","59.03","59.03","-","-","18.12"
"[object Object]","Marvin Mims Jr.","DEN","WR","WR","59.05","59.05","-","-","18.12"
