"#","Team Name","User","Points","League Rank","Record"
"363","DoYouHaveAnyGreyBijan?","jschmitt81","181.40","2","2-0-0"
"364","crabkeydrno","crabkeydrno","181.40","2","2-0-0"
"365","Achane Reaction","killakal123180","181.30","1","2-0-0"
"366","The Bad Batch","pilgs87","181.30","1","2-0-0"
"367","I Want My Baby Back Gibbs","thecoldestboi94","181.26","1","2-0-0"
"368","paulrudd","paulrudd","181.20","1","2-0-0"
"369","schmidtee","schmidtee","181.20","1","2-0-0"
"370","Goldphins","risoldi","181.10","5","1-1-0"
"371","mdl5150","mdl5150","181.10","1","2-0-0"
"372","Mr. McGibblets","numbnut","181.06","1","2-0-0"
"373","The Joshfather","jroz64","181.06","1","2-0-0"
"374","Team To Be Named Later","gregheinzman","181.06","1","2-0-0"
"375","Pinoy Pride","jimshak","181.06","1","2-0-0"
"376","Beef Stew","trevsmith5","181.06","1","2-0-0"
"377","A Surtain Thing","rizzledizzle37","181.04","1","2-0-0"
"378","The Thornbearers","luriarte","181.04","1","2-0-0"
"379","zjhaas23","zjhaas23","181.00","1","2-0-0"
"380","Gettin’ Gibby With It","jturn314","180.98","1","2-0-0"
"381","Jason’sTurkishHairDoctor","daheezi","180.96","1","2-0-0"
"382","gojohnnyrun","gojohnnyrun","180.96","1","2-0-0"
"383","Big Daddy Harris","37hdizzel73","180.90","1","2-0-0"
"384","tyler012","tyler012","180.86","1","2-0-0"
"385","Taylor Made Swift","jonnysip","180.86","1","2-0-0"
"386","Brittle Kittle","jwoody205","180.76","1","2-0-0"
"387","dareel2chainz","dareel2chainz","180.76","1","2-0-0"
"388","panos44","panos44","180.76","1","2-0-0"
"389","cableatoms","cableatoms","180.70","1","2-0-0"
"390","Willliams^3","ekreiger","180.66","1","2-0-0"
"391","sqints6","sqints6","180.64","1","2-0-0"
"392","trizzyj4","trizzyj4","180.62","1","2-0-0"
"393","Amon-Ra Doggin’","randybjorkquist","180.56","1","2-0-0"
"394","dswag","dswag","180.46","1","2-0-0"
"395","6thstreet","6thstreet","180.40","1","2-0-0"
"396","Starring Cast","fcast23","180.36","1","2-0-0"
"397","PurdyFlyForWhiteGuy","ddddanger","180.32","1","2-0-0"
"398","mattvalenti","mattvalenti","180.30","1","2-0-0"
"399","wadec22","wadec22","180.28","1","2-0-0"
"400","jims298","jims298","180.26","1","2-0-0"
"401","taymrem","taymrem","180.24","1","2-0-0"
"402","Ban tight ends","mattcarney90","180.16","2","2-0-0"
"403","deejay1","deejay1","180.16","2","2-0-0"
"404","gonzdmd","gonzdmd","180.06","1","2-0-0"
"405","Cows Go Moo!","th3scribbler","180.04","1","2-0-0"
"406","mdholden","mdholden","180.02","1","2-0-0"
"407","It Hurts when I pee","avogel16","180.02","1","2-0-0"
"408","Bonnin Dart","gbon9","180.00","1","2-0-0"
"409","mp2459","mp2459","180.00","1","2-0-0"
"410","Decimus Meridius","jbast3","180.00","1","2-0-0"
"411","raypow14","raypow14","179.96","1","2-0-0"
"412","Gibbs Me Moore","colltay14","179.96","1","2-0-0"
"413","Pork Pistols","tuckmansolo","179.96","2","2-0-0"
"414","phillyg614","phillyg614","179.90","1","2-0-0"
"415","Mrblue","mrblue","179.86","1","2-0-0"
"416","leanpockets","leanpockets","179.86","1","2-0-0"
"417","TheUnfortunateBrownsFan","cgoldhamer","179.80","5","1-1-0"
"418","thesun22","thesun22","179.76","1","2-0-0"
"419","jandosm210","jandosm210","179.76","1","2-0-0"
"420","walkdatalk","walkdatalk","179.72","1","2-0-0"
"421","neighborfish55","neighborfish55","179.70","1","2-0-0"
"422","partylicciardi","partylicciardi","179.70","1","2-0-0"
"423","inkyy","inkyy","179.70","1","2-0-0"
"424","Squanchy","squanchysquad","179.62","1","2-0-0"
